Address 1 (self-reported),Postal Code,Street Number,Street Name,Primary Property Type - Self Selected,Largest Property Use Type,Primary Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,GHG Emissions,Direct GHG Emissions,Indirect GHG Emissions,log_GHG_Emissions,age,age_group,Occupancy_group
3975 Broadway,10032,3975,BROADWAY,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),231342.0,1924,1,100,,,,,,,40.840427,-73.940249,0.0,0.0,0.0,0.0,100,>50,76-100%
161 Fort Washington Ave,10032,161,FT WASHINGTON AVENUE,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),1305748.0,1971,1,100,,,,,,,40.840746,-73.942854,0.0,0.0,0.0,0.0,53,>50,76-100%
710 West 168th Street,10032,193,FT WASHINGTON AVENUE,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),179694.0,1932,1,100,,,,,,,40.841559,-73.942528,0.0,0.0,0.0,0.0,92,>50,76-100%
523 East 70th St,10021,512,EAST 71 STREET,Mixed Use Property,Other,245000.0,1932,1,60,,,,,,,40.765949,-73.953752,0.0,0.0,0.0,0.0,92,>50,51-75%
271-10 Grand Central Parkway,11005,269,GRAND CENTRAL PKWY,Multifamily Housing,Other,2738875.0,1974,1,100,,,,,,,40.757859,-73.715543,0.0,0.0,0.0,0.0,50,41-50,76-100%
270-10 Grand Central Parkway,11005,269,GRAND CENTRAL PKWY,Multifamily Housing,Other,2738875.0,1974,1,100,,,,,,,40.757859,-73.715543,0.0,0.0,0.0,0.0,50,41-50,76-100%
269-10 Grand Central Parkway,11005,269,GRAND CENTRAL PKWY,Multifamily Housing,Other,2738875.0,1974,1,100,,,,,,,40.757859,-73.715543,0.0,0.0,0.0,0.0,50,41-50,76-100%
475 SEAVIEW AVE,10305,475,SEAVIEW AVENUE,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),567517.0,1950,1,100,,,,,,,40.583953,-74.08693,0.0,0.0,0.0,0.0,74,>50,76-100%
475 Seaview Av,10305,242,MASON AVENUE,Medical Office,Medical Office,58893.0,1950,1,100,,,,,,,40.586868,-74.086592,0.0,0.0,0.0,0.0,74,>50,76-100%
720-730 Ft. Washington Ave.,10040,730,FT WASHINGTON AVENUE,Multifamily Housing,Multifamily Housing,116744.0,1939,1,100,77.1,82.7,2.6,0.0,,,40.858256,-73.934734,689.0,588.6,100.4,6.536691597591305,85,>50,76-100%
830-840 Park Avenue,10021,,,Multifamily Housing,Multifamily Housing,189766.0,1911,2,100,68.0,,6.1,0.5,,,,,847.5,475.0,372.5,6.743470084674281,113,,76-100%
830 Park Avenue,10021,830,PARK AVENUE,Multifamily Housing,Multifamily Housing,130629.0,1911,1,100,23.7,23.4,6.8,,,,40.773465,-73.962116,286.8,0.0,286.8,5.662265794453267,113,,76-100%
840 Park Avenue,10021,840,PARK AVENUE,Multifamily Housing,Multifamily Housing,54913.0,1911,1,100,17.9,17.4,4.8,0.0,231.9,4.22,40.773843,-73.961838,88.8,3.2,85.7,4.497584975308154,113,,76-100%
4-6 Washington Place,10003,4,WASHINGTON PLACE,College/University,College/University,199058.1,1971,2,100,26.9,26.9,7.9,0.0,1009.9,5.07,40.729201,-73.994155,497.1,0.0,497.1,6.210800860079238,53,>50,76-100%
713 Broadway,10003,713,BROADWAY,College/University,College/University,61582.0,1971,0,100,,,,,,,40.728924,-73.993834,0.0,0.0,0.0,0.0,53,>50,76-100%
730 EAST 163RD STREET,10456,725,EAST 161 STREET,Multifamily Housing,Multifamily Housing,855844.0,1962,6,100,,,,,,,40.821523,-73.90549,,,,,62,>50,76-100%
420-440 East 102 St.,10029,455,EAST 102 STREET,Multifamily Housing,Multifamily Housing,175885.0,1973,2,100,56.2,58.8,10.7,0.2,237.9,1.35,40.786238,-73.939958,765.3,203.2,562.0,6.641573737976358,51,>50,76-100%
86-02 208 St,11427,206-09,86 ROAD,Multifamily Housing,Multifamily Housing,152308.0,1952,4,100,49.5,50.7,7.4,0.3,,,,,555.1,193.1,362.0,6.320948134193518,72,>50,76-100%
206-10 86 Road,11427,86-50,FRANCIS LEWIS BLVD,Multifamily Housing,Multifamily Housing,228570.0,1952,6,100,25.5,25.1,4.9,0.1,,,,,464.0,102.0,362.0,6.142037405587356,72,>50,76-100%
209-30 86 Drive,11427,210-10,GRND CNTRL PKWY SR E,Multifamily Housing,Multifamily Housing,152380.0,1952,4,100,65.3,66.8,12.4,0.2,,,,,787.9,181.8,606.1,6.670639570101044,72,>50,76-100%
209-31 86 Drive,11427,1986-09-01 00:00:00,GRAND CENTRL PARKWAY,Multifamily Housing,Multifamily Housing,304760.0,1952,8,100,43.7,43.4,5.7,0.2,,,,,948.1,386.1,562.1,6.855514167136446,72,>50,76-100%
420 W 116th St,10027,,,Office,Office,50000.0,1906,1,100,,,,,,,,,0.0,0.0,0.0,0.0,118,,76-100%
508 West 114th Street,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,48608.0,1898,1,100,16.0,16.0,4.5,0.0,,,,,71.1,1.5,69.6,4.278054044290903,126,,76-100%
566 West 114th Street,10027,2910,BROADWAY,Residence Hall/Dormitory,Residence Hall/Dormitory,72109.0,1898,1,100,30.4,30.4,8.6,0.0,,,40.806444,-73.96503,200.0,4.5,195.5,5.303304908059076,126,,76-100%
2900 Broadway,10027,2900,BROADWAY,Residence Hall/Dormitory,Residence Hall/Dormitory,140056.0,1924,1,100,34.2,34.2,10.0,,,,40.806172,-73.965229,444.3,0.0,444.3,6.098748212327656,100,>50,76-100%
2920 Broadway,10027,,,Office,Office,258119.0,1999,1,100,,,,,,,,,0.0,0.0,0.0,0.0,25,21-30,76-100%
535 West 114th Street,10027,,,Office,Office,441108.0,1934,1,100,,,,,,,,,0.0,0.0,0.0,0.0,90,>50,76-100%
1124 Amsterdam Avenue,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,79951.0,1924,1,100,,,,,,,,,0.0,0.0,0.0,0.0,100,>50,76-100%
1130 Amsterdam Avenue,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,87639.0,1907,1,100,,,,,,,,,0.0,0.0,0.0,0.0,117,,76-100%
1116 Amsterdam Avenue,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,78464.0,1924,1,100,,,,,,,,,0.0,0.0,0.0,0.0,100,>50,76-100%
2940 Broadway,10027,,,Office,Office,77271.0,1925,1,100,,,,,,,,,0.0,0.0,0.0,0.0,99,>50,76-100%
2950 Broadway,10027,,,Office,Office,103681.0,1925,1,100,,,,,,,,,0.0,0.0,0.0,0.0,99,>50,76-100%
2960 Broadway,10027,,,Office,Office,101704.0,1924,1,100,,,,,,,,,0.0,0.0,0.0,0.0,100,>50,76-100%
400 W 117th St,10027,1145,AMSTERDAM AVENUE,Office,Office,36752.0,1950,1,100,,,,,,,40.80709,-73.960847,0.0,0.0,0.0,0.0,74,>50,76-100%
410 W 117th St,10027,1145,AMSTERDAM AVENUE,Office,Office,6287.0,1950,1,100,,,,,,,40.80709,-73.960847,0.0,0.0,0.0,0.0,74,>50,76-100%
1172 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,95954.0,1977,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,47,41-50,76-100%
3010 Broadway,10027,530,WEST 120 STREET,Office,Office,77917.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
2990 Broadway,10027,530,WEST 120 STREET,Office,Office,60373.0,1897,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,127,,76-100%
1180 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,62004.0,1987,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,37,31-40,76-100%
2970 Broadway,10027,530,WEST 120 STREET,Office,Office,59847.0,1924,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,100,>50,76-100%
1150 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,64447.0,1911,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,113,,76-100%
538 West 120th Street,10027,530,WEST 120 STREET,Office,Office,147145.0,1927,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,97,>50,76-100%
3030 Broadway,10027,530,WEST 120 STREET,Office,Office,148666.0,1974,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,50,41-50,76-100%
535 West 116th Street,10027,530,WEST 120 STREET,Office,Office,149779.0,1987,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,37,31-40,76-100%
3000 Broadway,10027,530,WEST 120 STREET,Office,Office,126670.0,1897,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,127,,76-100%
3022 Broadway,10027,530,WEST 120 STREET,Office,Office,199107.0,1964,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,60,>50,76-100%
445-8 Riverside Drive,10027,445,RIVERSIDE DRIVE,Residence Hall/Dormitory,Residence Hall/Dormitory,57903.0,1932,1,100,11.4,11.4,0.0,0.1,,,40.80912,-73.965599,34.9,34.9,0.0,3.580737295494233,92,>50,76-100%
1200 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,90679.0,1897,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,127,,76-100%
1190 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,133021.0,1930,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,94,>50,76-100%
3024 Broadway,10027,530,WEST 120 STREET,Office,Office,166959.0,1964,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,60,>50,76-100%
1160 Amsterdam Ave,10027,530,WEST 120 STREET,Worship Facility,Worship Facility,20035.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
1210 Amsterdam Ave,10027,530,WEST 120 STREET,Office,Office,163689.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
3002 Broadway,10027,530,WEST 120 STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,34637.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
515 W 116th St,10027,530,WEST 120 STREET,Office,Office,11712.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
1212 Amsterdam Ave,10027,530,WEST 120 STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,131923.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
1214 Amsterdam Ave,10027,530,WEST 120 STREET,Office,Office,27713.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
2980 Broadway,10027,530,WEST 120 STREET,Office,Office,21482.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
3020 Broadway,10027,530,WEST 120 STREET,Office,Office,17651.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,74,>50,76-100%
550 W 120th St,10027,530,WEST 120 STREET,College/University,College/University,207750.0,2010,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0,0.0,14,11-20,76-100%
617 W 168 Street,10032,617,WEST 168 STREET,Office,Office,56959.0,1914,1,100,108.3,108.1,5.8,,,,40.841398,-73.94049,754.0,0.0,754.0,6.626717749249025,110,,76-100%
154 Haven Avenue,10032,154,HAVEN AVENUE,Office,Office,52850.0,1970,1,100,85.6,89.8,9.8,0.0,1753.4,20.75,40.845958,-73.942539,589.9,320.9,269.0,6.381646798351629,54,>50,76-100%
106 Fulton St,10038,,,Residence Hall/Dormitory,Residence Hall/Dormitory,66687.0,1952,1,100,53.8,58.9,7.0,0.4,3048.6,45.71,,,253.6,106.0,147.6,5.539693686123306,72,>50,76-100%
39 Park Row,10038,39,PARK ROW,College/University,College/University,128572.0,1905,1,100,62.2,63.8,13.5,,818.0,6.36,40.711835,-74.006558,690.5,0.0,690.5,6.538863151104813,119,,76-100%
70 Washington Square S,100122500,,,College/University,College/University,10477571.0,1833,77,100,,,,,,,,,,,,,191,,76-100%
1 Washington Square Village,10012,1,WASHINGTON SQ VLLGE,Multifamily Housing,Multifamily Housing,306659.0,1959,1,100,16.1,16.2,4.2,0.0,,,40.729113,-73.997507,437.5,29.2,408.2,6.083359811812238,65,>50,76-100%
3 Washington Square Village,10012,1,WASHINGTON SQ VLLGE,Multifamily Housing,Multifamily Housing,322355.0,1960,1,100,15.3,14.8,3.8,0.0,,,40.729113,-73.997507,434.2,30.0,404.2,6.0758056955417326,64,>50,76-100%
4 Washington Square Village,10012,1,WASHINGTON SQ VLLGE,Multifamily Housing,Multifamily Housing,322571.0,1960,1,100,18.2,17.5,4.6,0.0,,,40.729113,-73.997507,520.9,30.4,490.5,6.257475998649367,64,>50,76-100%
44 West 4th Street,10012,44,WEST 4 STREET,College/University,College/University,213423.0,1992,1,100,,,,,,,40.729341,-73.996157,,0.0,,,32,31-40,76-100%
50 West 4th Street,10012,44,WEST 4 STREET,College/University,College/University,89951.0,1896,1,100,19.6,19.6,5.8,,,,40.729341,-73.996157,164.0,0.0,164.0,5.10594547390058,128,,76-100%
40 West 4th Street,10012,44,WEST 4 STREET,College/University,College/University,113233.0,1972,1,100,,,,,,,40.729341,-73.996157,,0.0,,,52,>50,76-100%
60 Washington Square South,10012,566,LA GUARDIA PLACE,Social/Meeting Hall,Social/Meeting Hall,247639.0,2001,1,100,30.6,30.6,7.1,0.1,,,40.729409,-73.997817,641.1,82.6,558.5,6.464744054800002,23,21-30,76-100%
51-54 Washington Square South,10012,51,WASHINGTON SQUARE S,College/University,College/University,61310.0,1895,1,100,52.9,52.9,15.5,,,,40.730625,-73.998784,301.2,0.0,301.2,5.711089049838639,129,,76-100%
245 Sullivan Street,10012,89,WEST 3 STREET,College/University,College/University,168566.0,2001,1,100,10.1,10.1,2.9,0.0,2032.1,12.05,40.729912,-73.999044,156.6,2.9,153.8,5.060060177423779,23,21-30,76-100%
239 Greene Street,10003,18,WASHINGTON PLACE,College/University,College/University,103680.0,1893,1,100,56.5,55.9,16.4,,943.3,9.1,40.729827,-73.995429,543.8,0.0,543.8,6.300418754835302,131,,76-100%
19 West 4th Street,10012,8,WASHINGTON PLACE,College/University,College/University,128679.0,1894,1,100,29.9,29.9,8.7,,462.9,3.6,40.729456,-73.994667,356.5,0.0,356.5,5.879135362134062,130,,76-100%
21-29  West 4th Street,10012,21,WEST 4 STREET,College/University,College/University,73913.0,1891,1,100,35.0,35.0,10.2,,,,40.728978,-73.995378,239.9,0.0,239.9,5.484381909620826,133,,76-100%
100 Washington Square East,10003,32,WAVERLY PLACE,College/University,College/University,258155.0,1895,1,100,11.7,11.2,3.3,,,,40.730546,-73.995237,279.3,0.0,279.3,5.635860458170742,129,,76-100%
715-719 Broadway,10003,715,BROADWAY,College/University,College/University,97711.0,1896,1,100,19.4,19.4,5.7,,,,40.729099,-73.993682,176.2,0.0,176.2,5.177279038170981,128,,76-100%
5-11 University Place,10003,5,UNIVERSITY PLACE,Residence Hall/Dormitory,Residence Hall/Dormitory,169984.0,1962,1,100,12.3,13.0,,0.1,,,40.730925,-73.995364,136.7,136.7,0.0,4.925077405734609,62,>50,76-100%
33 Washington Square West,10011,35,WASHINGTON SQUARE W,Residence Hall/Dormitory,Residence Hall/Dormitory,182714.0,1929,1,100,19.3,19.3,4.2,0.0,,,40.731408,-73.999307,292.1,47.2,244.9,5.680513847716846,95,>50,76-100%
37-39 Washington Square West,10012,37,WASHINGTON SQUARE W,Multifamily Housing,Multifamily Housing,119090.0,1928,1,100,16.0,17.4,1.4,0.0,,,40.73127,-73.999423,151.1,98.1,53.1,5.024538199265247,96,>50,76-100%
218 2nd Ave,10003,222,2 AVENUE,Medical Office,Medical Office,60828.0,1893,1,100,127.6,133.4,,,6595.4,108.43,40.732,-73.985185,515.2,0.0,515.2,6.246494287284514,131,,76-100%
435 W 119th Street,10027,,,Other,Other,176351.0,1964,2,100,10.7,10.7,1.1,0.1,,,,,126.1,66.6,59.5,4.844974178195408,60,>50,76-100%
750 West 261 Street,10471,750,WEST 261 STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,200261.0,1924,1,100,93.6,99.2,9.9,0.5,,,40.911797,-73.907008,1325.9,700.1,625.9,7.190600673542391,100,>50,76-100%
6135 Riverdale Avenue,10471,6301,RIVERDALE AVENUE,College/University,Office,117060.0,1848,1,100,114.9,124.4,14.0,0.3,,,40.912828,-73.902506,1620.7,809.5,811.2,7.391230260725329,176,,76-100%
755 West 261 Street,10471,,,College/University,College/University,83366.0,1956,1,100,80.0,85.6,11.8,0.1,,,,,861.9,370.0,491.9,6.7602988095142615,68,>50,76-100%
1 hoyt st,11201,,,Other,,,1925,1,100,,,,,,,,,0.0,0.0,0.0,0.0,99,>50,76-100%
601 West 112th Street,10027,,,Other,Other,338996.0,1909,3,100,38.2,41.7,0.6,0.4,,,,,713.8,651.1,62.7,6.5720027832852725,115,,76-100%
410 West 118th Street,10027,2901,BROADWAY,Multifamily Housing,Multifamily Housing,188572.0,1909,1,100,29.8,29.8,0.9,0.0,,,40.80618,-73.965251,425.0,372.7,52.3,6.054439346269371,115,,76-100%
435 West 119th Street,10027,1201,AMSTERDAM AVENUE,Multifamily Housing,Multifamily Housing,87260.0,1964,1,100,100.8,100.8,1.0,1.0,6990.5,80.11,40.808838,-73.959574,478.8,451.9,26.9,6.173369350405594,60,>50,76-100%
434 West 120th Street,10027,1211,AMSTERDAM AVENUE,Multifamily Housing,Multifamily Housing,89091.0,1967,1,100,17.2,17.2,1.2,0.1,2659.3,29.85,40.809066,-73.959408,95.1,62.5,32.6,4.565389315976247,57,>50,76-100%
410 West 118th Street,10027,414,WEST 120 STREET,Multifamily Housing,Multifamily Housing,62334.0,1980,1,100,78.9,78.9,1.2,0.7,3275.7,52.55,40.808832,-73.958021,271.1,248.0,23.1,5.6061696457892,44,41-50,76-100%
900 Atlantic Avenue,11238,,,Self-Storage Facility,Self-Storage Facility,83095.0,2009,2,100,13.7,,,,0.0,0.0,,,93.7,15.8,77.9,4.550714000192032,15,11-20,76-100%
892 Atlantic Avenue,11238,892,ATLANTIC AVENUE,Self-Storage Facility,Self-Storage Facility,55884.0,2009,1,100,,,,,,,40.681258,-73.965143,0.0,0.0,0.0,0.0,15,11-20,76-100%
900 Atlantic Avenue,11238,,,Self-Storage Facility,Self-Storage Facility,27211.0,2009,1,100,,,,,,,,,0.0,0.0,0.0,0.0,15,11-20,76-100%
2134 Bartow Ave,10475,,,Retail Store,Retail Store,21000.0,2013,1,100,,,,,,,,,0.0,0.0,0.0,0.0,11,11-20,76-100%
90-28 Van Wyck Expy,11418,,,Office,Office,89506.0,1978,1,100,76.4,81.0,10.9,0.4,3236.1,36.15,,,495.4,186.8,308.6,6.207382053330452,46,41-50,76-100%
210 West 150th Street,10039,2802,FREDRICK DOUGLASS BL,Multifamily Housing,Multifamily Housing,74068.0,1928,1,100,94.4,100.1,3.9,0.9,,,40.825416,-73.940013,410.9,318.4,92.5,6.020780601442035,96,>50,76-100%
210 West 150th Street,10039,2802,FREDRICK DOUGLASS BL,Multifamily Housing,Multifamily Housing,84442.0,1928,1,100,112.0,121.2,3.2,1.1,,,40.825416,-73.940013,551.5,460.5,91.0,6.314453433391908,96,>50,76-100%
210 West 150th Street,10039,2802,FREDRICK DOUGLASS BL,Multifamily Housing,Multifamily Housing,72806.0,1928,1,100,97.0,102.5,4.1,0.9,,,40.825416,-73.940013,417.8,318.4,99.3,6.037393478996382,96,>50,76-100%
210 West 150th Street,10039,2802,FREDRICK DOUGLASS BL,Multifamily Housing,Multifamily Housing,74549.0,1928,1,100,105.2,111.8,4.0,1.0,,,40.825416,-73.940013,458.5,360.4,98.1,6.1301389417957415,96,>50,76-100%
210 West 150th Street,10039,2802,FREDRICK DOUGLASS BL,Multifamily Housing,Multifamily Housing,96602.0,1928,1,100,123.7,123.1,5.7,1.0,,,40.825416,-73.940013,748.7,560.0,188.7,6.619673126509016,96,>50,76-100%
5100 KINGS PLAZA,11234,5102,AVENUE U,Enclosed Mall,Enclosed Mall,114400.0,1970,1,80,,,,,,,40.609977,-73.92222,0.0,0.0,0.0,0.0,54,>50,76-100%
5100 KINGS PLAZA,11234,5120,AVENUE U,Enclosed Mall,Enclosed Mall,2548000.0,1970,1,80,,,,,,,40.610962,-73.920699,0.0,0.0,0.0,0.0,54,>50,76-100%
158-39 - 158-43 HVA Jr. Ave.,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,72.9,,0.7,4450.2,63.57,,,,,0.0,,71,>50,76-100%
67-47 161st Street ,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,17500.0,1953,1,100,65.9,72.0,,0.7,1292.6,73.86,,,61.2,61.2,0.0,4.130354999745133,71,>50,76-100%
67-30 / 67-24 161st Street,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,65.2,,,,4414.3,63.06,,,277.3,277.3,0.0,5.628699668531845,71,>50,76-100%
67-10 161st Street,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,17500.0,1953,1,100,,,,,1271.7,72.67,,,0.0,0.0,0.0,0.0,71,>50,76-100%
65-96 / 65-90 160th Street,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,64.5,,,,4812.2,68.75,,,273.8,273.8,0.0,5.616043560348194,71,>50,76-100%
65-82 / 65-75 160th Street ,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,65.9,,,,4457.6,63.68,,,279.8,279.8,0.0,5.637642672151656,71,>50,76-100%
65-52 / 65-46 160th Street,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,71.5,,,,4345.4,62.08,,,314.6,314.6,0.0,5.75447558897172,71,>50,76-100%
65-43 / 65-45 Parsons Blvd.,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,69.3,,0.7,3760.5,53.72,,,,,0.0,,71,>50,76-100%
65-59 / 65-61 Parsons Blvd.,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,66.4,,0.7,3807.6,54.39,,,,,0.0,,71,>50,76-100%
65-77 / 65-81 Parsons Blvd.,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,71.5,,0.7,4873.6,69.62,,,,,0.0,,71,>50,76-100%
67-11 / 67-15 Parsons Blvd.,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,78.8,,0.8,4891.5,69.88,,,,,0.0,,71,>50,76-100%
65-17 / 65-23 Parsons Blvd.,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,,,,3599.6,51.42,,,,,0.0,,71,>50,76-100%
162-01 / 162-05  71st Ave.,11365,161-08,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,35000.0,1953,1,100,,,,,1241.0,35.46,,,0.0,0.0,0.0,0.0,71,>50,76-100%
159-21 / 159-25 71st  Ave.,11365,161-08,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,35000.0,1953,1,100,,,,,1171.4,33.47,,,0.0,0.0,0.0,0.0,71,>50,76-100%
158-40 HVA Jr. Ave.,11365,161-08,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,130.0,142.9,,1.4,5053.8,72.2,,,483.3,483.3,0.0,6.182704549409183,71,>50,76-100%
161-04 Harry Van Arsdale Jr. Ave.,11365,161-08,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,35000.0,1953,1,100,,,,,1104.1,31.55,,,0.0,0.0,0.0,0.0,71,>50,76-100%
161-12 / 161-10 HVA Jr. Ave.,11365,161-08,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,35000.0,1953,1,100,,,,,1272.4,36.36,,,0.0,0.0,0.0,0.0,71,>50,76-100%
161-30 / 161-32 HVA Jr. Ave.,11365,161-08,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,129.8,,1.3,5485.5,78.36,,,,,0.0,,71,>50,76-100%
161-25 / 161-29 HVA Ave.,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,59.4,64.2,,0.6,4071.6,58.17,,,221.0,221.0,0.0,5.402677381872279,69,>50,76-100%
161-51 / 161-55 HVA Jr. Ave,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,46.2,49.9,,0.5,3587.7,51.25,,,171.7,171.7,0.0,5.1515559851526325,69,>50,76-100%
67-44 / 67-40 164th Street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,48.8,,,,3242.8,46.33,,,181.6,181.6,0.0,5.207297968160868,69,>50,76-100%
67-30 164th Street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,35000.0,1955,1,100,60.3,,,,1636.0,46.74,,,120.8,120.8,0.0,4.802380355275797,69,>50,76-100%
67-12 / 67-06 164th Street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,37.2,,,,4051.4,57.88,,,162.3,162.3,0.0,5.095588999976419,69,>50,76-100%
65-69 / 65-73 162nd Street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,,,,,4243.0,60.61,,,,,0.0,,69,>50,76-100%
65-85 / 65-91 162nd Street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,39.6,,,,3700.6,52.87,,,190.1,190.1,0.0,5.252796851246227,69,>50,76-100%
67-11 161st street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,17500.0,1955,1,100,69.0,75.2,,0.8,554.3,31.67,,,64.1,64.1,0.0,4.175924549214524,69,>50,76-100%
67-25 / 67-31 161st Street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,58.1,,,,3494.9,49.93,,,261.9,261.9,0.0,5.571773731735836,69,>50,76-100%
67-47 161st Street ,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,17500.0,1955,1,100,71.2,76.4,,0.8,1045.0,59.72,,,66.2,66.2,0.0,4.207673247529104,69,>50,76-100%
65-47 / 65-53 160th Street ,11365,1961-11-01 00:00:00,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1954,1,100,56.8,,,,3947.5,56.39,,,258.3,258.3,0.0,5.5579856925446185,70,>50,76-100%
65-77 / 65-83 160th Street,11365,1961-11-01 00:00:00,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1954,1,100,67.8,73.8,,0.7,4802.5,68.61,,,258.7,258.7,0.0,5.5595271186687025,70,>50,76-100%
65-94 / 65-88 162nd Street ,11365,1961-11-01 00:00:00,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1954,1,100,47.7,,,,5260.3,75.15,,,213.5,213.5,0.0,5.368309738368072,70,>50,76-100%
65-76 / 65-70 162nd Street,11365,1961-11-01 00:00:00,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1954,1,100,,,,,4379.1,62.56,,,,,0.0,,70,>50,76-100%
