Address 1 (self-reported),Postal Code,Street Number,Street Name,Primary Property Type - Self Selected,Largest Property Use Type,Primary Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,GHG Emissions,Direct GHG Emissions,Indirect GHG Emissions,log_GHG_Emissions,age,age_group,Occupancy_group
1001-1031 East 108th Street,11236,1001,EAST 108 STREET,Multifamily Housing,Multifamily Housing,52580.0,1967,1,100,134.4,142.6,5.5,1.2,3921.1,74.57,40.646929,-73.890336,414.6,322.9,91.7,6.029723259225072,57,>50,76-100%
959-999 East 108th Street,11236,959,EAST 108 STREET,Multifamily Housing,Multifamily Housing,52580.0,1967,1,100,140.8,149.6,5.0,1.3,,,40.647487,-73.890951,428.9,345.6,83.3,6.063552623502236,57,>50,76-100%
"95-02 Seaview Avenue, Brooklyn",11236,1661,EAST 95 STREET,Other,Other,28400.0,1950,1,100,81.9,85.0,8.1,0.6,,,40.632544,-73.891156,314.1,163.4,150.6,5.752890048763229,74,>50,76-100%
2063-2183B Ralph Ave,11234,2183,RALPH AVENUE,Mixed Use Property,Other,157000.0,1970,1,100,10.5,11.1,1.6,0.1,,,40.624752,-73.917801,120.6,43.4,77.1,4.800736969532067,54,>50,76-100%
6910 Avenue U,11234,6910,AVENUE U,Multifamily Housing,Multifamily Housing,125852.0,1965,1,100,90.0,94.8,5.4,0.8,,,40.618981,-73.908752,739.8,505.8,234.0,6.60773068333197,59,>50,76-100%
"6121 Strickland Ave, ",11234,6119,STRICKLAND AVENUE,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,52000.0,1950,1,100,20.8,20.8,6.1,,,,40.612213,-73.912612,100.4,0.0,100.4,4.619073091157083,74,>50,76-100%
"5923 Strickland Avenue, Brooklyn",11234,5923,STRICKLAND AVENUE,Mixed Use Property,Medical Office,33643.0,2002,1,100,37.1,36.5,10.7,,1553.7,30.55,40.607938,-73.915358,175.1,0.0,175.1,5.17105201550216,22,21-30,76-100%
2901 Ocean Parkway,11235,2901,OCEAN PARKWAY,Multifamily Housing,Multifamily Housing,51182.0,1926,1,100,145.6,151.4,7.9,1.1,,,40.580103,-73.967651,465.6,337.4,128.2,6.1454723595873295,98,>50,76-100%
2935 Ocean Parkway,11235,2935,OCEAN PARKWAY,Multifamily Housing,Multifamily Housing,76300.0,1928,1,100,81.5,87.1,3.5,0.8,4477.1,58.68,40.579554,-73.967777,368.1,279.4,88.7,5.911067610035953,96,>50,76-100%
2911 Brighton 5th Street,11235,2911,BRIGHTON 5 STREET,Multifamily Housing,Multifamily Housing,100300.0,1963,1,90,88.4,,4.6,0.7,6386.1,63.67,40.580796,-73.963615,548.4,398.5,149.9,6.308826773661173,61,>50,76-100%
3052 Brighton 1st Street,11235,3052,BRIGHTON 1 STREET,Multifamily Housing,Multifamily Housing,72715.0,2007,1,75,48.0,49.8,6.6,0.3,2269.6,31.21,40.5773,-73.966982,250.1,98.7,151.4,5.5258512661635395,17,11-20,51-75%
3015 Brighton 6th St,11235,3015,BRIGHTON 6 STREET,Multifamily Housing,Multifamily Housing,56830.0,2009,1,100,31.5,32.5,5.1,0.2,,,40.579033,-73.961985,134.3,42.6,91.7,4.907494535176743,15,11-20,76-100%
3101 Ocean Pkwy,11218,3101,OCEAN PARKWAY,Multifamily Housing,Multifamily Housing,121000.0,1956,1,100,64.4,68.4,3.5,0.6,5420.0,44.79,40.575857,-73.968617,470.9,337.9,133.0,6.156767098732342,68,>50,76-100%
3111 Ocean Parkway,11235,3111,OCEAN PARKWAY,Multifamily Housing,Multifamily Housing,116565.0,1991,1,100,76.2,80.6,1.9,0.7,6640.5,56.97,40.575571,-73.968693,502.2,430.4,71.7,6.22098770538623,33,31-40,76-100%
3111 Brighton 1 Place,11235,3111,BRIGHTON 1 PLACE,Multifamily Housing,Multifamily Housing,75705.0,1932,1,100,67.5,70.6,2.8,0.6,3133.6,41.39,40.576095,-73.965727,301.4,231.5,69.9,5.711750644305378,92,>50,76-100%
3100 Brighton 3rd Street,11235,3100,BRIGHTON 3 STREET,Multifamily Housing,Multifamily Housing,68586.0,1920,1,100,73.5,78.2,4.7,0.6,,,40.576498,-73.96411,311.3,209.6,101.7,5.7439642642890325,104,,76-100%
3110 brighton 3rd St,11235,3110,BRIGHTON 3 STREET,Multifamily Housing,Multifamily Housing,56000.0,1931,1,100,80.4,,2.8,,10.0,0.18,40.576325,-73.964078,260.9,210.1,50.8,5.567962751513666,93,>50,76-100%
3101 Brighton 2 Street,11235,3101,BRIGHTON 2 STREET,Multifamily Housing,Multifamily Housing,42700.0,1929,1,100,142.2,,,,4935.2,115.58,40.576245,-73.964981,344.0,293.5,50.6,5.84354441703136,95,>50,76-100%
3105 Brighton 3 St,11235,3105,BRIGHTON 3 STREET,Multifamily Housing,Multifamily Housing,60000.0,1927,1,100,64.3,67.6,3.9,0.5,,,40.576327,-73.964056,237.9,161.0,76.9,5.476045054331764,97,>50,76-100%
3091 Brighton 3rd St.,11235,3091,BRIGHTON 3 STREET,Multifamily Housing,Multifamily Housing,56702.0,1935,1,100,78.4,84.1,3.0,0.7,4504.2,79.44,40.57661,-73.964106,259.4,204.8,54.6,5.562218910334414,89,>50,76-100%
3110 BRIGHTON 4 STREET,11235,3110,BRIGHTON 4 STREET,Multifamily Housing,Multifamily Housing,52920.0,1930,1,100,73.0,77.6,3.3,0.7,,,40.576464,-73.963156,230.1,171.8,58.2,5.442850517280335,94,>50,76-100%
3115 Brighton 4th St,11235,3115,BRIGHTON 4 STREET,Multifamily Housing,Multifamily Housing,92400.0,1929,1,100,73.3,,0.8,0.7,,,40.576355,-73.963113,374.8,352.9,21.9,5.929057086979365,95,>50,76-100%
3093 Brighton 4 Street,11235,3093,BRIGHTON 4 STREET,Multifamily Housing,Multifamily Housing,95000.0,1929,1,100,59.7,,,,6360.1,66.95,40.576766,-73.963188,335.7,255.6,80.1,5.819192326167029,95,>50,76-100%
3094 Brighton 5th Street,11235,3094,BRIGHTON 5 STREET,Multifamily Housing,Multifamily Housing,52200.0,1929,1,100,78.0,81.8,3.2,0.7,,,40.577043,-73.96231,239.8,184.8,55.0,5.483966713434666,95,>50,76-100%
3120 BRIGHTON 5TH ST,11235,3120,BRIGHTON 5 STREET,Multifamily Housing,Multifamily Housing,50400.0,1929,1,100,72.3,76.7,2.6,0.7,2486.5,49.34,40.576785,-73.962267,211.6,169.6,42.1,5.359412465907847,95,>50,76-100%
