Address 1 (self-reported),Postal Code,Street Number,Street Name,Primary Property Type - Self Selected,Largest Property Use Type,Primary Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,GHG Emissions,Direct GHG Emissions,Indirect GHG Emissions
"353 Lexington Avenue, New York",10016,349,LEXINGTON AVENUE,Office,Office,81000.0,1925,1,100,87.9,91.6,13.4,,3696.9,42.99,40.749965,-73.977114,639.7,265.0,374.8
104-110 East 40th Street,10016,104,EAST 40 STREET,Office,Office,52188.0,1915,1,100,141.1,151.7,12.8,0.0,1882.3,36.07,40.750624,-73.978117,589.5,374.4,215.1
210 East 15th Street,10003,210,EAST 15 STREET,Multifamily Housing,Multifamily Housing,145919.0,1963,1,100,77.7,83.0,5.6,0.0,,,40.733688,-73.986018,824.9,13.7,811.2
200 East 15th Street,10003,135,3 AVENUE,Multifamily Housing,Multifamily Housing,158505.0,1945,1,100,81.1,85.4,7.7,0.0,,,40.733633,-73.98692,1034.8,629.7,405.1
201 East 15th Street,10003,147,3 AVENUE,Multifamily Housing,Multifamily Housing,60000.0,1960,1,100,78.5,78.5,6.6,,6040.3,100.67,40.734072,-73.986599,378.5,252.9,125.6
200 East 16th Street,10003,157,3 AVENUE,Multifamily Housing,Multifamily Housing,159424.0,1930,1,100,65.6,69.3,5.5,0.5,8309.2,52.12,40.734319,-73.986418,680.0,389.4,290.7
305 2nd Avenue,10003,305,2 AVENUE,Multifamily Housing,Multifamily Housing,129889.0,1901,1,100,49.6,50.6,9.4,0.2,,,40.734593,-73.983311,783.8,180.8,603.0
211 E 18th st.,10003,211,EAST 18 STREET,Multifamily Housing,Multifamily Housing,111396.0,1957,1,100,76.0,80.7,5.1,0.6,3477.7,31.22,40.735587,-73.984859,530.6,341.6,188.9
242 E 19th Street,10003,323,2 AVENUE,Multifamily Housing,Multifamily Housing,150417.0,1929,1,100,73.0,77.7,6.6,,7693.0,50.51,40.735241,-73.982842,900.1,569.3,330.8
222 East 19th St,10003,222,EAST 19 STREET,Multifamily Housing,Multifamily Housing,95956.0,1963,1,100,86.2,91.8,5.3,0.0,2437.4,25.4,40.735938,-73.983921,642.5,475.4,167.1
201 East 19th St,10003,233,3 AVENUE,Multifamily Housing,Multifamily Housing,157495.0,1959,1,100,81.0,86.3,7.1,0.0,,,40.736644,-73.984729,1085.3,694.8,390.4
237 East 20th Street,10017,237,EAST 20 STREET,Multifamily Housing,Multifamily Housing,76220.0,1929,1,100,113.9,,,,,,40.736457,-73.983286,667.1,570.4,96.7
214 - 220 East 23rd Street,10010,214,EAST 21 STREET,College/University,College/University,59000.0,1925,1,100,88.2,93.6,14.2,0.0,617.4,10.47,40.737302,-73.983527,441.9,175.8,266.1
201 East 21st Street ,10010,267,3 AVENUE,Multifamily Housing,Multifamily Housing,279571.0,1962,1,100,66.2,69.0,6.7,0.5,1786.8,6.15,40.737733,-73.983935,1290.8,658.9,631.9
371 2nd Avenue,10016,371,2 AVENUE,Multifamily Housing,Multifamily Housing,77640.0,1930,1,100,92.8,100.4,4.8,,5272.2,65.38,40.736885,-73.981647,587.0,461.7,125.3
205-215 East 22nd Street,10010,205,EAST 22 STREET,Multifamily Housing,Multifamily Housing,100603.0,1985,1,100,40.0,42.1,6.8,0.2,,,40.738005,-73.983228,323.4,93.9,229.5
"214 East 24th Street, New York",10010,214,EAST 24 STREET,Multifamily Housing,Multifamily Housing,50800.0,1980,1,100,89.4,92.3,7.0,0.0,2127.9,41.89,40.73907,-73.981676,358.1,240.7,117.5
"200 East 24th Street, New York",10010,309,3 AVENUE,Multifamily Housing,Multifamily Housing,147837.0,1972,1,100,74.5,,5.9,0.5,5066.6,33.15,40.739136,-73.982917,743.9,445.1,298.8
401 Second Avenue,10010,401,2 AVENUE,Multifamily Housing,Multifamily Housing,200299.0,1970,1,100,61.5,64.6,5.1,0.0,,,40.737991,-73.980839,908.4,21.6,886.8
201 East 24th Street,10010,321,3 AVENUE,Hotel,Hotel,55832.0,1925,1,100,112.7,115.2,15.2,0.6,4702.3,82.74,40.739586,-73.982589,461.5,177.4,284.1
215 E 24th St,10010,205,EAST 24 STREET,Multifamily Housing,Multifamily Housing,113399.0,1932,1,100,95.3,100.5,7.2,0.8,,,40.739429,-73.98248,690.2,419.0,271.2
245 East 24 St,10010,421,2 AVENUE,Multifamily Housing,Multifamily Housing,105882.0,1961,1,100,95.6,100.7,7.0,0.8,5441.3,48.31,40.738647,-73.980362,683.7,422.7,261.0
201 East 25th Street,10010,201,EAST 25 STREET,Multifamily Housing,Multifamily Housing,185900.0,1963,1,100,90.6,90.6,5.6,0.4,9400.0,48.45,40.739981,-73.98187,1222.6,880.9,341.7
245 East 25th Street,10010,441,2 AVENUE,Multifamily Housing,Multifamily Housing,188847.0,1964,1,100,77.8,77.6,5.9,0.0,,,40.739264,-73.979907,1213.3,836.8,376.5
225 EAST 26 STREET,10010,225,EAST 26 STREET,Multifamily Housing,Multifamily Housing,62002.0,1963,1,100,68.4,73.2,5.5,0.5,2165.6,34.93,40.740302,-73.980723,272.8,161.9,110.9
