Address 1 (self-reported),Postal Code,Street Number,Street Name,Primary Property Type - Self Selected,Largest Property Use Type,Primary Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,GHG Emissions,Direct GHG Emissions,Indirect GHG Emissions
3975 Broadway,10032,3975,BROADWAY,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),231342.0,1924,1,100,,,,,,,40.840427,-73.940249,0.0,0.0,0.0
710 West 168th Street,10032,193,FT WASHINGTON AVENUE,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),179694.0,1932,1,100,,,,,,,40.841559,-73.942528,0.0,0.0,0.0
720-730 Ft. Washington Ave.,10040,730,FT WASHINGTON AVENUE,Multifamily Housing,Multifamily Housing,116744.0,1939,1,100,77.1,82.7,2.6,0.0,,,40.858256,-73.934734,689.0,588.6,100.4
830 Park Avenue,10021,830,PARK AVENUE,Multifamily Housing,Multifamily Housing,130629.0,1911,1,100,23.7,23.4,6.8,,,,40.773465,-73.962116,286.8,0.0,286.8
840 Park Avenue,10021,840,PARK AVENUE,Multifamily Housing,Multifamily Housing,54913.0,1911,1,100,17.9,17.4,4.8,0.0,231.9,4.22,40.773843,-73.961838,88.8,3.2,85.7
420 W 116th St,10027,,,Office,Office,50000.0,1906,1,100,,,,,,,,,0.0,0.0,0.0
508 West 114th Street,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,48608.0,1898,1,100,16.0,16.0,4.5,0.0,,,,,71.1,1.5,69.6
566 West 114th Street,10027,2910,BROADWAY,Residence Hall/Dormitory,Residence Hall/Dormitory,72109.0,1898,1,100,30.4,30.4,8.6,0.0,,,40.806444,-73.96503,200.0,4.5,195.5
2900 Broadway,10027,2900,BROADWAY,Residence Hall/Dormitory,Residence Hall/Dormitory,140056.0,1924,1,100,34.2,34.2,10.0,,,,40.806172,-73.965229,444.3,0.0,444.3
2920 Broadway,10027,,,Office,Office,258119.0,1999,1,100,,,,,,,,,0.0,0.0,0.0
1124 Amsterdam Avenue,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,79951.0,1924,1,100,,,,,,,,,0.0,0.0,0.0
1130 Amsterdam Avenue,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,87639.0,1907,1,100,,,,,,,,,0.0,0.0,0.0
1116 Amsterdam Avenue,10027,,,Residence Hall/Dormitory,Residence Hall/Dormitory,78464.0,1924,1,100,,,,,,,,,0.0,0.0,0.0
2940 Broadway,10027,,,Office,Office,77271.0,1925,1,100,,,,,,,,,0.0,0.0,0.0
2950 Broadway,10027,,,Office,Office,103681.0,1925,1,100,,,,,,,,,0.0,0.0,0.0
2960 Broadway,10027,,,Office,Office,101704.0,1924,1,100,,,,,,,,,0.0,0.0,0.0
400 W 117th St,10027,1145,AMSTERDAM AVENUE,Office,Office,36752.0,1950,1,100,,,,,,,40.80709,-73.960847,0.0,0.0,0.0
410 W 117th St,10027,1145,AMSTERDAM AVENUE,Office,Office,6287.0,1950,1,100,,,,,,,40.80709,-73.960847,0.0,0.0,0.0
1172 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,95954.0,1977,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
3010 Broadway,10027,530,WEST 120 STREET,Office,Office,77917.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
2990 Broadway,10027,530,WEST 120 STREET,Office,Office,60373.0,1897,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
1180 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,62004.0,1987,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
2970 Broadway,10027,530,WEST 120 STREET,Office,Office,59847.0,1924,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
1150 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,64447.0,1911,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
538 West 120th Street,10027,530,WEST 120 STREET,Office,Office,147145.0,1927,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
3030 Broadway,10027,530,WEST 120 STREET,Office,Office,148666.0,1974,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
535 West 116th Street,10027,530,WEST 120 STREET,Office,Office,149779.0,1987,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
3000 Broadway,10027,530,WEST 120 STREET,Office,Office,126670.0,1897,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
3022 Broadway,10027,530,WEST 120 STREET,Office,Office,199107.0,1964,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
445-8 Riverside Drive,10027,445,RIVERSIDE DRIVE,Residence Hall/Dormitory,Residence Hall/Dormitory,57903.0,1932,1,100,11.4,11.4,0.0,0.1,,,40.80912,-73.965599,34.9,34.9,0.0
1200 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,90679.0,1897,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
1190 Amsterdam Avenue,10027,530,WEST 120 STREET,Office,Office,133021.0,1930,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
3024 Broadway,10027,530,WEST 120 STREET,Office,Office,166959.0,1964,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
1160 Amsterdam Ave,10027,530,WEST 120 STREET,Worship Facility,Worship Facility,20035.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
1210 Amsterdam Ave,10027,530,WEST 120 STREET,Office,Office,163689.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
3002 Broadway,10027,530,WEST 120 STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,34637.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
515 W 116th St,10027,530,WEST 120 STREET,Office,Office,11712.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
1212 Amsterdam Ave,10027,530,WEST 120 STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,131923.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
1214 Amsterdam Ave,10027,530,WEST 120 STREET,Office,Office,27713.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
2980 Broadway,10027,530,WEST 120 STREET,Office,Office,21482.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
3020 Broadway,10027,530,WEST 120 STREET,Office,Office,17651.0,1950,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
550 W 120th St,10027,530,WEST 120 STREET,College/University,College/University,207750.0,2010,1,100,,,,,,,40.809752,-73.960217,0.0,0.0,0.0
617 W 168 Street,10032,617,WEST 168 STREET,Office,Office,56959.0,1914,1,100,108.3,108.1,5.8,,,,40.841398,-73.94049,754.0,0.0,754.0
154 Haven Avenue,10032,154,HAVEN AVENUE,Office,Office,52850.0,1970,1,100,85.6,89.8,9.8,0.0,1753.4,20.75,40.845958,-73.942539,589.9,320.9,269.0
106 Fulton St,10038,,,Residence Hall/Dormitory,Residence Hall/Dormitory,66687.0,1952,1,100,53.8,58.9,7.0,0.4,3048.6,45.71,,,253.6,106.0,147.6
39 Park Row,10038,39,PARK ROW,College/University,College/University,128572.0,1905,1,100,62.2,63.8,13.5,,818.0,6.36,40.711835,-74.006558,690.5,0.0,690.5
44 West 4th Street,10012,44,WEST 4 STREET,College/University,College/University,213423.0,1992,1,100,,,,,,,40.729341,-73.996157,,0.0,
50 West 4th Street,10012,44,WEST 4 STREET,College/University,College/University,89951.0,1896,1,100,19.6,19.6,5.8,,,,40.729341,-73.996157,164.0,0.0,164.0
40 West 4th Street,10012,44,WEST 4 STREET,College/University,College/University,113233.0,1972,1,100,,,,,,,40.729341,-73.996157,,0.0,
60 Washington Square South,10012,566,LA GUARDIA PLACE,Social/Meeting Hall,Social/Meeting Hall,247639.0,2001,1,100,30.6,30.6,7.1,0.1,,,40.729409,-73.997817,641.1,82.6,558.5
51-54 Washington Square South,10012,51,WASHINGTON SQUARE S,College/University,College/University,61310.0,1895,1,100,52.9,52.9,15.5,,,,40.730625,-73.998784,301.2,0.0,301.2
245 Sullivan Street,10012,89,WEST 3 STREET,College/University,College/University,168566.0,2001,1,100,10.1,10.1,2.9,0.0,2032.1,12.05,40.729912,-73.999044,156.6,2.9,153.8
239 Greene Street,10003,18,WASHINGTON PLACE,College/University,College/University,103680.0,1893,1,100,56.5,55.9,16.4,,943.3,9.1,40.729827,-73.995429,543.8,0.0,543.8
19 West 4th Street,10012,8,WASHINGTON PLACE,College/University,College/University,128679.0,1894,1,100,29.9,29.9,8.7,,462.9,3.6,40.729456,-73.994667,356.5,0.0,356.5
21-29  West 4th Street,10012,21,WEST 4 STREET,College/University,College/University,73913.0,1891,1,100,35.0,35.0,10.2,,,,40.728978,-73.995378,239.9,0.0,239.9
100 Washington Square East,10003,32,WAVERLY PLACE,College/University,College/University,258155.0,1895,1,100,11.7,11.2,3.3,,,,40.730546,-73.995237,279.3,0.0,279.3
715-719 Broadway,10003,715,BROADWAY,College/University,College/University,97711.0,1896,1,100,19.4,19.4,5.7,,,,40.729099,-73.993682,176.2,0.0,176.2
5-11 University Place,10003,5,UNIVERSITY PLACE,Residence Hall/Dormitory,Residence Hall/Dormitory,169984.0,1962,1,100,12.3,13.0,,0.1,,,40.730925,-73.995364,136.7,136.7,0.0
33 Washington Square West,10011,35,WASHINGTON SQUARE W,Residence Hall/Dormitory,Residence Hall/Dormitory,182714.0,1929,1,100,19.3,19.3,4.2,0.0,,,40.731408,-73.999307,292.1,47.2,244.9
37-39 Washington Square West,10012,37,WASHINGTON SQUARE W,Multifamily Housing,Multifamily Housing,119090.0,1928,1,100,16.0,17.4,1.4,0.0,,,40.73127,-73.999423,151.1,98.1,53.1
218 2nd Ave,10003,222,2 AVENUE,Medical Office,Medical Office,60828.0,1893,1,100,127.6,133.4,,,6595.4,108.43,40.732,-73.985185,515.2,0.0,515.2
750 West 261 Street,10471,750,WEST 261 STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,200261.0,1924,1,100,93.6,99.2,9.9,0.5,,,40.911797,-73.907008,1325.9,700.1,625.9
755 West 261 Street,10471,,,College/University,College/University,83366.0,1956,1,100,80.0,85.6,11.8,0.1,,,,,861.9,370.0,491.9
1 hoyt st,11201,,,Other,,,1925,1,100,,,,,,,,,0.0,0.0,0.0
410 West 118th Street,10027,2901,BROADWAY,Multifamily Housing,Multifamily Housing,188572.0,1909,1,100,29.8,29.8,0.9,0.0,,,40.80618,-73.965251,425.0,372.7,52.3
435 West 119th Street,10027,1201,AMSTERDAM AVENUE,Multifamily Housing,Multifamily Housing,87260.0,1964,1,100,100.8,100.8,1.0,1.0,6990.5,80.11,40.808838,-73.959574,478.8,451.9,26.9
434 West 120th Street,10027,1211,AMSTERDAM AVENUE,Multifamily Housing,Multifamily Housing,89091.0,1967,1,100,17.2,17.2,1.2,0.1,2659.3,29.85,40.809066,-73.959408,95.1,62.5,32.6
410 West 118th Street,10027,414,WEST 120 STREET,Multifamily Housing,Multifamily Housing,62334.0,1980,1,100,78.9,78.9,1.2,0.7,3275.7,52.55,40.808832,-73.958021,271.1,248.0,23.1
892 Atlantic Avenue,11238,892,ATLANTIC AVENUE,Self-Storage Facility,Self-Storage Facility,55884.0,2009,1,100,,,,,,,40.681258,-73.965143,0.0,0.0,0.0
900 Atlantic Avenue,11238,,,Self-Storage Facility,Self-Storage Facility,27211.0,2009,1,100,,,,,,,,,0.0,0.0,0.0
2134 Bartow Ave,10475,,,Retail Store,Retail Store,21000.0,2013,1,100,,,,,,,,,0.0,0.0,0.0
90-28 Van Wyck Expy,11418,,,Office,Office,89506.0,1978,1,100,76.4,81.0,10.9,0.4,3236.1,36.15,,,495.4,186.8,308.6
210 West 150th Street,10039,2802,FREDRICK DOUGLASS BL,Multifamily Housing,Multifamily Housing,74068.0,1928,1,100,94.4,100.1,3.9,0.9,,,40.825416,-73.940013,410.9,318.4,92.5
210 West 150th Street,10039,2802,FREDRICK DOUGLASS BL,Multifamily Housing,Multifamily Housing,84442.0,1928,1,100,112.0,121.2,3.2,1.1,,,40.825416,-73.940013,551.5,460.5,91.0
210 West 150th Street,10039,2802,FREDRICK DOUGLASS BL,Multifamily Housing,Multifamily Housing,72806.0,1928,1,100,97.0,102.5,4.1,0.9,,,40.825416,-73.940013,417.8,318.4,99.3
210 West 150th Street,10039,2802,FREDRICK DOUGLASS BL,Multifamily Housing,Multifamily Housing,74549.0,1928,1,100,105.2,111.8,4.0,1.0,,,40.825416,-73.940013,458.5,360.4,98.1
210 West 150th Street,10039,2802,FREDRICK DOUGLASS BL,Multifamily Housing,Multifamily Housing,96602.0,1928,1,100,123.7,123.1,5.7,1.0,,,40.825416,-73.940013,748.7,560.0,188.7
158-39 - 158-43 HVA Jr. Ave.,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,72.9,,0.7,4450.2,63.57,,,,,0.0
67-47 161st Street ,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,17500.0,1953,1,100,65.9,72.0,,0.7,1292.6,73.86,,,61.2,61.2,0.0
67-30 / 67-24 161st Street,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,65.2,,,,4414.3,63.06,,,277.3,277.3,0.0
67-10 161st Street,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,17500.0,1953,1,100,,,,,1271.7,72.67,,,0.0,0.0,0.0
65-96 / 65-90 160th Street,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,64.5,,,,4812.2,68.75,,,273.8,273.8,0.0
65-82 / 65-75 160th Street ,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,65.9,,,,4457.6,63.68,,,279.8,279.8,0.0
65-52 / 65-46 160th Street,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,71.5,,,,4345.4,62.08,,,314.6,314.6,0.0
65-43 / 65-45 Parsons Blvd.,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,69.3,,0.7,3760.5,53.72,,,,,0.0
65-59 / 65-61 Parsons Blvd.,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,66.4,,0.7,3807.6,54.39,,,,,0.0
65-77 / 65-81 Parsons Blvd.,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,71.5,,0.7,4873.6,69.62,,,,,0.0
67-11 / 67-15 Parsons Blvd.,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,78.8,,0.8,4891.5,69.88,,,,,0.0
65-17 / 65-23 Parsons Blvd.,11365,65-30,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,,,,3599.6,51.42,,,,,0.0
162-01 / 162-05  71st Ave.,11365,161-08,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,35000.0,1953,1,100,,,,,1241.0,35.46,,,0.0,0.0,0.0
159-21 / 159-25 71st  Ave.,11365,161-08,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,35000.0,1953,1,100,,,,,1171.4,33.47,,,0.0,0.0,0.0
158-40 HVA Jr. Ave.,11365,161-08,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,130.0,142.9,,1.4,5053.8,72.2,,,483.3,483.3,0.0
161-04 Harry Van Arsdale Jr. Ave.,11365,161-08,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,35000.0,1953,1,100,,,,,1104.1,31.55,,,0.0,0.0,0.0
161-12 / 161-10 HVA Jr. Ave.,11365,161-08,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,35000.0,1953,1,100,,,,,1272.4,36.36,,,0.0,0.0,0.0
161-30 / 161-32 HVA Jr. Ave.,11365,161-08,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1953,1,100,,129.8,,1.3,5485.5,78.36,,,,,0.0
161-25 / 161-29 HVA Ave.,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,59.4,64.2,,0.6,4071.6,58.17,,,221.0,221.0,0.0
161-51 / 161-55 HVA Jr. Ave,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,46.2,49.9,,0.5,3587.7,51.25,,,171.7,171.7,0.0
67-44 / 67-40 164th Street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,48.8,,,,3242.8,46.33,,,181.6,181.6,0.0
67-30 164th Street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,35000.0,1955,1,100,60.3,,,,1636.0,46.74,,,120.8,120.8,0.0
67-12 / 67-06 164th Street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,37.2,,,,4051.4,57.88,,,162.3,162.3,0.0
65-69 / 65-73 162nd Street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,,,,,4243.0,60.61,,,,,0.0
65-85 / 65-91 162nd Street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,39.6,,,,3700.6,52.87,,,190.1,190.1,0.0
67-11 161st street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,17500.0,1955,1,100,69.0,75.2,,0.8,554.3,31.67,,,64.1,64.1,0.0
67-25 / 67-31 161st Street,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1955,1,100,58.1,,,,3494.9,49.93,,,261.9,261.9,0.0
67-47 161st Street ,11365,161-25,JEWEL AVENUE,Multifamily Housing,Multifamily Housing,17500.0,1955,1,100,71.2,76.4,,0.8,1045.0,59.72,,,66.2,66.2,0.0
65-47 / 65-53 160th Street ,11365,1961-11-01 00:00:00,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1954,1,100,56.8,,,,3947.5,56.39,,,258.3,258.3,0.0
65-77 / 65-83 160th Street,11365,1961-11-01 00:00:00,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1954,1,100,67.8,73.8,,0.7,4802.5,68.61,,,258.7,258.7,0.0
65-94 / 65-88 162nd Street ,11365,1961-11-01 00:00:00,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1954,1,100,47.7,,,,5260.3,75.15,,,213.5,213.5,0.0
65-76 / 65-70 162nd Street,11365,1961-11-01 00:00:00,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1954,1,100,,,,,4379.1,62.56,,,,,0.0
65-50 / 65-44 162nd Street,11365,1961-11-01 00:00:00,160 STREET,Multifamily Housing,Multifamily Housing,70000.0,1954,1,100,44.6,,,,4275.1,61.07,,,191.8,191.8,0.0
65-24 162nd Street,11365,61-15,160 STREET,Multifamily Housing,Multifamily Housing,145938.0,1966,1,100,41.8,44.2,12.5,0.0,,,,,557.9,11.6,546.3
65-25 160th Street ,11365,61-15,160 STREET,Multifamily Housing,Multifamily Housing,145938.0,1966,1,100,42.9,45.6,12.8,0.0,,,,,571.2,13.3,557.8
828 Midwood Street,11203,811,RUTLAND ROAD,Multifamily Housing,Multifamily Housing,157998.0,1953,1,100,,,,,,,40.660488,-73.933165,0.0,0.0,0.0
828 Midwood Street,11203,811,RUTLAND ROAD,Multifamily Housing,Multifamily Housing,105332.0,1953,1,100,,,,,,,40.660488,-73.933165,0.0,0.0,0.0
828 Midwood Street,11203,811,RUTLAND ROAD,Multifamily Housing,Multifamily Housing,52666.0,1953,1,100,,,,,,,40.660488,-73.933165,0.0,0.0,0.0
134-30 Franklin Ave,11355,134-30,FRANKLIN AVENUE,Multifamily Housing,Multifamily Housing,102632.0,1952,1,100,,,,,,,,,0.0,0.0,0.0
1395 Lexington Ave,10128,1393,LEXINGTON AVENUE,Other - Recreation,Other - Recreation,207336.0,1930,1,100,,,,,,,40.783013,-73.953007,0.0,0.0,0.0
255 West 23rd Street,10011,255,WEST 23 STREET,Multifamily Housing,Multifamily Housing,69545.0,1939,1,100,73.9,73.3,7.3,0.5,5592.4,70.31,40.744747,-73.997163,392.6,204.8,187.8
250 West 24th Street,10011,255,WEST 23 STREET,Multifamily Housing,Multifamily Housing,79545.0,1939,1,100,75.0,80.1,5.4,0.6,,,40.744747,-73.997163,376.1,237.5,138.6
1250 First Ave,10065,1250,1 AVENUE,Other,Other,170589.0,1940,1,100,,,,,,,40.764817,-73.958168,0.0,0.0,0.0
105 East 107th Street,10029,,,K-12 School,K-12 School,36500.0,1947,1,100,46.6,47.9,10.6,0.1,,,,,347.0,46.4,300.6
310-320 W 86th Street,10024,320,WEST 86 STREET,Multifamily Housing,Multifamily Housing,69148.0,1914,1,100,56.8,56.5,4.8,0.4,,,40.789237,-73.978719,254.2,147.7,106.5
33 Rear East 36 Street,10016,219,MADISON AVENUE,Library,Library,113026.0,1906,1,100,,,,,,,40.7492,-73.9819,0.0,0.0,0.0
225 Madison Avenue,10016,229,MADISON AVENUE,Library,Library,37675.0,1906,1,100,,,,,,,40.749511,-73.981673,0.0,0.0,0.0
550 Myrtle Ave,11205,215,WILLOUGHBY AVENUE,College/University,Retail Store,20000.0,2005,1,100,89.4,94.1,14.7,0.4,18.3,0.92,40.692179,-73.96306,134.8,41.7,93.1
164-182 Willoughby Ave,11205,,,College/University,K-12 School,28000.0,1955,1,100,85.8,85.8,10.6,0.5,254.3,9.08,,,167.7,73.8,93.9
224-228 Ryerson St,11205,,,College/University,K-12 School,44000.0,1900,1,100,85.8,85.8,10.6,0.5,85.3,1.94,,,263.6,116.0,147.6
331-347 Dekalb Ave,11205,,,College/University,K-12 School,26000.0,1955,1,100,85.8,85.8,10.6,0.5,51.6,1.99,,,155.8,68.5,87.2
180 Grand Ave,11205,255,RYERSON STREET,College/University,K-12 School,10000.0,1888,1,100,85.8,85.8,10.6,0.5,18.0,1.8,40.690247,-73.96433,59.9,26.4,33.5
200 Grand Ave,11205,255,RYERSON STREET,College/University,K-12 School,40000.0,1887,1,100,85.8,85.8,10.6,0.5,1122.1,28.05,40.690247,-73.96433,239.6,105.5,134.2
215 Ryerson St,11205,255,RYERSON STREET,College/University,K-12 School,43000.0,1887,1,100,85.8,85.8,10.6,0.5,125.3,2.91,40.690247,-73.96433,257.6,113.4,144.2
199 - 205 Ryerson St,11205,255,RYERSON STREET,College/University,K-12 School,17000.0,1900,1,100,85.8,85.8,10.6,0.5,37.4,2.2,40.690247,-73.96433,101.8,44.8,57.0
221 Ryerson St,11205,255,RYERSON STREET,College/University,K-12 School,14000.0,1887,1,100,85.8,85.8,10.6,0.5,29.2,2.08,40.690247,-73.96433,83.9,36.9,47.0
184 - 202 Willoughby Ave,11205,255,RYERSON STREET,College/University,K-12 School,47000.0,1957,1,100,137.4,137.4,10.6,1.0,486.2,10.35,40.690247,-73.96433,410.4,252.8,157.7
224 Grand Ave,11205,255,RYERSON STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,59000.0,1986,1,100,98.8,96.7,9.4,0.6,2049.7,34.74,40.690247,-73.96433,390.1,202.2,187.9
255 Ryerson St,11205,255,RYERSON STREET,College/University,K-12 School,8000.0,1900,1,100,85.8,85.8,10.6,0.5,20.8,2.59,40.690247,-73.96433,47.9,21.1,26.8
369  Dekalb Ave,11205,333,WAVERLY AVENUE,College/University,K-12 School,72000.0,1920,1,100,74.3,74.3,7.4,0.5,134.6,1.87,40.68831,-73.966852,356.2,187.8,168.4
174-204  Steuben St,11205,333,WAVERLY AVENUE,College/University,K-12 School,31000.0,1900,1,100,85.8,85.8,10.6,0.5,95.4,3.08,40.68831,-73.966852,185.7,81.7,104.0
172-186 Emerson Pl,11205,225,STEUBEN STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,16296.0,1900,1,100,75.7,75.7,4.4,0.6,29.0,1.78,40.690205,-73.962268,75.2,52.5,22.7
171- 185 Syeuben St,11205,225,STEUBEN STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,16296.0,1900,1,100,16.7,16.9,3.1,0.1,23.9,1.47,40.690205,-73.962268,21.3,5.2,16.1
220-234 Willoughby Ave,11205,225,STEUBEN STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,22407.0,1900,1,100,58.5,58.5,1.1,0.5,29.9,1.34,40.690205,-73.962268,73.1,65.1,7.9
2824 Plumb 3 Street,11235,,,Parking,Parking,150000.0,2006,1,100,,,,,,,,,0.0,0.0,0.0
"415 CARLTON AVENUE, ",11238,415,CARLTON AVENUE,Multifamily Housing,Multifamily Housing,19800.0,1988,1,100,131.5,142.3,7.8,1.2,,,40.685322,-73.971281,159.3,110.3,48.9
"387 ADELPHI STREET, ",11238,387,ADELPHI STREET,Multifamily Housing,Multifamily Housing,10908.0,1988,1,100,85.3,95.8,,1.0,,,40.685662,-73.970358,49.4,49.4,0.0
"387 ADELPHI STREET, ",11238,387,ADELPHI STREET,Multifamily Housing,Multifamily Housing,10908.0,1988,1,100,30.4,30.4,8.9,,,,40.685662,-73.970358,30.7,0.0,30.7
"5 Gates Ave, , NY ",11238,5,GATES AVENUE,Multifamily Housing,Multifamily Housing,41366.0,1988,1,100,50.8,54.2,4.0,0.4,,,40.684141,-73.96866,133.9,81.9,52.0
621 Ave. Z,11223,621,AVENUE Z,Multifamily Housing,Multifamily Housing,58560.0,1949,1,100,65.3,69.7,2.0,0.6,,,40.58615,-73.970902,219.3,181.8,37.5
675 Ave. Z,11223,675,AVENUE Z,Multifamily Housing,Multifamily Housing,58560.0,1951,1,100,59.3,63.2,1.3,0.6,,,40.586369,-73.968962,194.5,171.2,23.2
2612 W 2 ST PLPM,11223,2612,WEST 2 STREET,Multifamily Housing,Multifamily Housing,194870.0,1900,1,100,79.5,83.8,3.8,0.7,,,40.585708,-73.971212,925.5,684.6,240.9
2611 W 2 ST PLPM,11223,2611,WEST 2 STREET,Multifamily Housing,Multifamily Housing,97430.0,1949,1,100,76.1,81.0,2.4,0.7,,,40.585596,-73.971169,426.1,351.1,75.0
2661 West 2 St.,11223,2661,WEST 2 STREET,Multifamily Housing,Multifamily Housing,97430.0,1949,1,100,72.7,77.1,2.4,0.7,,,40.584781,-73.971018,408.2,333.3,75.0
2612 WEST ST PLPM,11235,,,Multifamily Housing,Multifamily Housing,194870.0,1951,1,100,84.3,88.6,4.2,0.7,,,,,985.0,721.3,263.7
2775 Shore Pkwy,11223,2775,SHORE PARKWAY,Multifamily Housing,Multifamily Housing,48710.0,1951,1,100,74.9,79.8,1.5,0.7,,,40.584138,-73.968833,203.8,180.6,23.2
2795 Shore Pkwy,11223,2775,SHORE PARKWAY,Multifamily Housing,Multifamily Housing,48710.0,1951,1,100,72.4,77.5,1.5,0.7,,,40.584138,-73.968833,197.3,174.1,23.2
9 Murdock Ct,11223,9,MURDOCK COURT,Multifamily Housing,Multifamily Housing,56534.0,1949,1,100,66.0,70.2,1.3,0.7,,,40.585642,-73.968728,208.2,185.0,23.2
29 Murdock Ct,11223,9,MURDOCK COURT,Multifamily Housing,Multifamily Housing,56534.0,1949,1,100,61.1,65.0,1.3,0.6,,,40.585642,-73.968728,193.3,170.1,23.2
49 Murdock Ct.,11223,9,MURDOCK COURT,Multifamily Housing,Multifamily Housing,56534.0,1949,1,100,70.1,74.8,1.3,0.7,,,40.585642,-73.968728,220.5,197.2,23.2
